Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,CLEVIR_INCA_7_5.vbproj,File,CLEVIR_INCA_7_5.vbproj,,,Microsoft.Extensions.DependencyInjection.Abstractions 11.0.0-preview.4.26230.115,,,,,"Microsoft.Extensions.DependencyInjection.Abstractions, 11.0.0-preview.4.26230.115  Recommendation:  Remove Microsoft.Extensions.DependencyInjection.Abstractions, and replace with new package Microsoft.Extensions.DependencyInjection.Abstractions 10.0.9"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,CLEVIR_INCA_7_5.vbproj,File,CLEVIR_INCA_7_5.vbproj,,,Microsoft.Extensions.Logging.Abstractions 11.0.0-preview.4.26230.115,,,,,"Microsoft.Extensions.Logging.Abstractions, 11.0.0-preview.4.26230.115  Recommendation:  Remove Microsoft.Extensions.Logging.Abstractions, and replace with new package Microsoft.Extensions.Logging.Abstractions 10.0.9"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,CLEVIR_INCA_7_5.vbproj,File,CLEVIR_INCA_7_5.vbproj,,,Microsoft.NETCore.Platforms 8.0.0-preview.7.23375.6,,,,,"Microsoft.NETCore.Platforms, 8.0.0-preview.7.23375.6  Recommendation:  Package functionality included with new framework reference"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,CLEVIR_INCA_7_5.vbproj,File,CLEVIR_INCA_7_5.vbproj,,,Newtonsoft.Json 13.0.5-beta1,,,,,"Newtonsoft.Json, 13.0.5-beta1  Recommendation:  Remove Newtonsoft.Json, and replace with new package Newtonsoft.Json 13.0.4"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,CLEVIR_INCA_7_5.vbproj,File,CLEVIR_INCA_7_5.vbproj,,,System.Buffers 4.6.1,,,,,"System.Buffers, 4.6.1  Recommendation:  Package functionality included with new framework reference"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,CLEVIR_INCA_7_5.vbproj,File,CLEVIR_INCA_7_5.vbproj,,,System.Diagnostics.DiagnosticSource 11.0.0-preview.4.26230.115,,,,,"System.Diagnostics.DiagnosticSource, 11.0.0-preview.4.26230.115  Recommendation:  Remove System.Diagnostics.DiagnosticSource, and replace with new package System.Diagnostics.DiagnosticSource 10.0.9"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,CLEVIR_INCA_7_5.vbproj,File,CLEVIR_INCA_7_5.vbproj,,,System.IO.Compression 4.3.0,,,,,"System.IO.Compression, 4.3.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,CLEVIR_INCA_7_5.vbproj,File,CLEVIR_INCA_7_5.vbproj,,,System.IO.Compression.ZipFile 4.3.0,,,,,"System.IO.Compression.ZipFile, 4.3.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,CLEVIR_INCA_7_5.vbproj,File,CLEVIR_INCA_7_5.vbproj,,,System.IO.Pipelines 11.0.0-preview.4.26230.115,,,,,"System.IO.Pipelines, 11.0.0-preview.4.26230.115  Recommendation:  Remove System.IO.Pipelines, and replace with new package System.IO.Pipelines 10.0.9"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,CLEVIR_INCA_7_5.vbproj,File,CLEVIR_INCA_7_5.vbproj,,,System.Memory 4.6.3,,,,,"System.Memory, 4.6.3  Recommendation:  Package functionality included with new framework reference"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,CLEVIR_INCA_7_5.vbproj,File,CLEVIR_INCA_7_5.vbproj,,,System.Memory.Data 11.0.0-preview.4.26230.115,,,,,"System.Memory.Data, 11.0.0-preview.4.26230.115  Recommendation:  Remove System.Memory.Data, and replace with new package System.Memory.Data 10.0.9"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,CLEVIR_INCA_7_5.vbproj,File,CLEVIR_INCA_7_5.vbproj,,,System.Numerics.Vectors 4.6.1,,,,,"System.Numerics.Vectors, 4.6.1  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,CLEVIR_INCA_7_5.vbproj,File,CLEVIR_INCA_7_5.vbproj,,,System.Security.Principal.Windows 5.0.0,,,,,"System.Security.Principal.Windows, 5.0.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,CLEVIR_INCA_7_5.vbproj,File,CLEVIR_INCA_7_5.vbproj,,,System.Text.Encoding.CodePages 11.0.0-preview.4.26230.115,,,,,"System.Text.Encoding.CodePages, 11.0.0-preview.4.26230.115  Recommendation:  Remove System.Text.Encoding.CodePages, and replace with new package System.Text.Encoding.CodePages 10.0.9"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,CLEVIR_INCA_7_5.vbproj,File,CLEVIR_INCA_7_5.vbproj,,,System.Text.Encodings.Web 11.0.0-preview.4.26230.115,,,,,"System.Text.Encodings.Web, 11.0.0-preview.4.26230.115  Recommendation:  Remove System.Text.Encodings.Web, and replace with new package System.Text.Encodings.Web 10.0.9"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,CLEVIR_INCA_7_5.vbproj,File,CLEVIR_INCA_7_5.vbproj,,,System.Text.Json 11.0.0-preview.4.26230.115,,,,,"System.Text.Json, 11.0.0-preview.4.26230.115  Recommendation:  Remove System.Text.Json, and replace with new package System.Text.Json 10.0.9"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,CLEVIR_INCA_7_5.vbproj,File,CLEVIR_INCA_7_5.vbproj,,,System.Threading.Tasks.Extensions 4.6.3,,,,,"System.Threading.Tasks.Extensions, 4.6.3  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,CLEVIR_INCA_7_5.vbproj,File,CLEVIR_INCA_7_5.vbproj,,,System.ValueTuple 4.6.2,,,,,"System.ValueTuple, 4.6.2  Recommendation:  Package functionality included with new framework reference"
Project.0001,Project file needs to be converted to SDK-style,Active,Mandatory,1,CLEVIR_INCA_7_5.vbproj,File,CLEVIR_INCA_7_5.vbproj,,,,,,,,
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,CLEVIR_INCA_7_5.vbproj,File,CLEVIR_INCA_7_5.vbproj,,,,,,,,"Current target framework: .NETFramework,Version=v4.8 Recommended target framework: net10.0-windows"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,CLEVIR_INCA_7_5.vbproj,File,My Project\Resources.Designer.vb,316,12,T:System.Drawing.Bitmap,,,,,"Get                  Dim obj As Object = ResourceManager.GetObject(""YellowRightArrow"", resourceCulture)                  Return CType(obj,System.Drawing.Bitmap)              End Get"
