VariableName,DisplayName,DeviceName,Raster,DefaultBackColor,DefaultForeColor,HighThreshBackColor,LowThreshBackColor,HighThreshForeColor,LowThreshForeColor,HighThresh,LowThresh,EqualTo,Row,Col,CheckForDataChange,DisplayWindowName,DisplayWindowSize,AssociatedControlName,LocationOnForm,GridSize,AlsoAssociatedWith,DisplayFormat
VeTOFR_Cnt_40msRollCt,40msRollCt,ACP3_MCU,25ms_c0,White,Black,Red,Red,White,White,10000000,-10000000,,1,1,FALSE,Obj Ffus,W638 H576,Header,X5 Y5,W284 H208,,"""""0"""""
VeTOFR_t_MstrClk,FrtMasterClk,ACP3_MCU,25ms_c0,White,Black,Red,Red,White,White,10000000,-10000000,,2,1,FALSE,Obj Ffus,,Header,,,,"""""0"""""
VeTOFR_e_FuncSt,FuncSt,ACP3_MCU,25ms_c0,White,Black,Red,Red,White,White,2,2,,3,1,FALSE,Obj Ffus,,Header,,,GO/NOGO,ENUM
VeTOFR_Cnt_NumValTgt,NumValTgt,ACP3_MCU,25ms_c0,White,Black,Red,Red,White,White,10000000,-10000000,,4,1,FALSE,Obj Ffus,,Header,,,,"""""0"""""
VeTOFR_k_LaneCurvature,LaneCurvature,ACP3_MCU,25ms_c0,White,Black,Red,Red,White,White,10000000,-10000000,,5,1,FALSE,Obj Ffus,,Header,,,,"""""0"""""
VeTOFR_k_TrafficFlowPathCurv,TrafficFlowPathCurv,ACP3_MCU,25ms_c0,White,Black,Red,Red,White,White,10000000,-10000000,,6,1,FALSE,Obj Ffus,,Header,,,,"""""0"""""
VeTOFR_r_TrafficFlowTngtHding,TrafficFlowTngtHding,ACP3_MCU,25ms_c0,White,Black,Red,Red,White,White,10000000,-10000000,,7,1,FALSE,Obj Ffus,,Header,,,,"""""0"""""
VeTOFR_e_RoadTypeInfo,RoadTypeInfo,ACP3_MCU,25ms_c0,White,Black,Red,Red,White,White,10000000,-10000000,,8,1,FALSE,Obj Ffus,,Header,,,,ENUM
VeTOFR_b_TmStampInvld,TmStampInval,ACP3_MCU,25ms_c0,White,Black,Red,Red,White,White,0,0,,9,1,FALSE,Obj Ffus,,Header,,,GO/NOGO,VALID/INVALID
VeTOFR_t_DataTmStamp,DataTmStamp,ACP3_MCU,25ms_c0,White,Black,Red,Red,White,White,10000000,-10000000,,10,1,TRUE,Obj Ffus,,Header,,,GO/NOGO,"""""0"""""
VeTOFR_e_HostLeftLaneEdgeType,LeftLaneEdgeType,ACP3_MCU,25ms_c0,White,Black,Red,Red,White,White,10000000,-10000000,,11,1,FALSE,Obj Ffus,,Header,,,,ENUM
VeTOFR_e_HostRightLaneEdgeType,RightLaneEdgeType,ACP3_MCU,25ms_c0,White,Black,Red,Red,White,White,10000000,-10000000,,12,1,FALSE,Obj Ffus,,Header,,,,ENUM
VeTOFR_b_FVisInvld,FVisInval,ACP3_MCU,25ms_c0,White,Black,Red,Red,White,White,0,0,,1,1,FALSE,Obj Ffus,W638 H576,InputStat,X307 Y5,W193 H117,,VALID/INVALID
VeTOFR_b_LRR_Invld,LRR_Inval,ACP3_MCU,25ms_c0,White,Black,Red,Red,White,White,0,0,,2,1,FALSE,Obj Ffus,,InputStat,,,,VALID/INVALID
VeTOFR_b_OLF_MRR_Invld,OLF_MRR_Invld,ACP3_MCU,25ms_c0,White,Black,Red,Red,White,White,0,0,,3,1,FALSE,Obj Ffus,,InputStat,,,,VALID/INVALID
VeTOFR_b_OLR_MRR_Invld,OLR_MRR_Invld,ACP3_MCU,25ms_c0,White,Black,Red,Red,White,White,0,0,,4,1,FALSE,Obj Ffus,,InputStat,,,,VALID/INVALID
VeTOFR_b_ORF_MRR_Invld,ORF_MRR_Invld,ACP3_MCU,25ms_c0,White,Black,Red,Red,White,White,0,0,,5,1,FALSE,Obj Ffus,,InputStat,,,,VALID/INVALID
VeTOFR_b_MapInvld,MapInvld,ACP3_MCU,25ms_c0,White,Black,Red,Red,White,White,0,0,,6,1,FALSE,Obj Ffus,,InputStat,,,,VALID/INVALID
VaTOFR_Cnt_ObjId[x]_[0],ObjID,ACP3_MCU,25ms_c0,Yellow,Black,Red,Red,White,White,10000000,-10000000,,1,1,FALSE,Obj Ffus,W638 H576,Front Fusion,X34 Y240,W555 H269,FUSION OBJID,"""""0"""""
VaTOFR_Cnt_ObjId[x]_[1],ObjID,ACP3_MCU,25ms_c0,Yellow,Black,Red,Red,White,White,10000000,-10000000,,1,2,FALSE,Obj Ffus,,Front Fusion,,,FUSION OBJID,"""""0"""""
VaTOFR_Cnt_ObjId[x]_[2],ObjID,ACP3_MCU,25ms_c0,Yellow,Black,Red,Red,White,White,10000000,-10000000,,1,3,FALSE,Obj Ffus,,Front Fusion,,,FUSION OBJID,"""""0"""""
